scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-07-2021,4525.601
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-07-2021,4524.9863
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-07-2021,4523.159
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-07-2021,4522.7456
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-07-2021,4522.057
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-07-2021,4521.203
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-07-2021,4520.959
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-07-2021,4519.494
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-07-2021,4518.926
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-06-2021,4518.151
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-06-2021,4517.5693
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-06-2021,4517.09
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-06-2021,4515.684
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-06-2021,4515.319
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-06-2021,4514.7705
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-06-2021,4514.3496
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-06-2021,4513.9233
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-06-2021,4512.291
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-06-2021,4511.8823
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-06-2021,4511.8945
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-06-2021,4511.927
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-06-2021,4511.535
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-06-2021,4510.308
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-06-2021,4509.647
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-06-2021,4508.967
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-06-2021,4508.225
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-06-2021,4507.6294
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-06-2021,4506.0015
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-06-2021,4505.61
